DeviceName	Port	VLanID	AllocatedIP	ConnectedDevice
LDBRR029	Fa0/1/2	550	10.44.29.83	PP02029
LDBRR029	Fa0/1/3	550	10.44.29.84	PP03029
LDBRR029	Fa0/1/4	550	10.44.29.90	PP11029
LDBRR029	T1	NULL	10.45.186.29	NULL
LDBRR029	T0	NULL	10.45.20.29	NULL
 LDR04228	eth0	20	10.44.228.5	 LDBRS228
LDBRR031	LB	NULL	10.44.31.250	NULL
LDBRR031	Fa0/1/1   	550	10.44.31.82	PP01031
LDBRR031	Fa0/1/2	550	10.44.31.83	PP02031
LDBRR031	Fa0/1/3	550	10.44.31.84	PP03031
LDBRR031	Fa0/1/6	550	10.44.31.85	PP04031
LDBRR031	Fa0/1/5	550	10.44.31.90	PP11031
LDBRR031	T1	NULL	10.45.186.31	NULL
LDBRR031	T0	NULL	10.45.20.31	NULL
 LDR05228	eth0	20	10.44.228.6	 LDBRS228
LDBRR032	LB	NULL	10.44.32.250	NULL
LDBRR032	Fa0/1/1	550	10.44.32.82	PP01032
LDBRR032	Fa0/1/2	550	10.44.32.83	PP02032
LDBRR032	Fa0/1/3	550	10.44.32.84	PP03032
LDBRR032	Fa0/1/4	550	10.44.32.85	PP04032
LDBRR032	Fa0/1/5	550	10.44.32.90	PP11032
LDBRR032	Fa0/1/7	550	10.44.32.92	PP13032
LDBRR032	T1	NULL	10.45.186.32	NULL
LDBRR032	T0	NULL	10.45.20.32	NULL
 LDR06228	eth0	20	10.44.228.7	 LDBRS228
LDBRR033	LB	NULL	10.44.33.250	NULL
LDBRR033	Fa0/1/1	550	10.44.33.82	PP01033
LDBRR033	Fa0/1/2	550	10.44.33.83	PP02033
LDBRR033	Fa0/1/3	550	10.44.33.84	PP03033
LDBRR033	Fa0/1/4	550	10.44.33.85	PP04033
LDBRR033	Fa0/1/5	550	10.44.33.90	PP11033
LDBRR033	T1	NULL	10.45.186.33	NULL
LDBRR033	T0	NULL	10.45.20.33	NULL
 LDR07228	eth0	20	10.44.228.8	 LDBRS228
LDBRR034	LB	NULL	10.44.34.250	NULL
LDBRR034	Fa0/1/1   	550	10.44.34.82	PP01034
LDBRR034	Fa0/1/2	550	10.44.34.83	PP02034
LDBRR034	Fa0/1/3	550	10.44.34.84	PP03034
LDBRR034	Fa0/1/4	550	10.44.34.90	PP11034
LDBRR034	T1	NULL	10.45.186.34	NULL
LDBRR034	T0	NULL	10.45.20.34	NULL
 LDR08228	eth0	20	10.44.228.9	 LDBRS228
LDBRR035	LB	NULL	10.44.35.250	NULL
LDBRR035	Fa0/1/1   	550	10.44.35.82	PP01035
LDBRR035	Fa0/1/2	550	10.44.35.83	PP02035
LDBRR035	Fa0/1/3	550	10.44.35.84	PP03035
LDBRR035	Fa0/1/4	550	10.44.35.85	PP04035
LDBRR035	Fa0/1/5	550	10.44.35.90	PP11035
LDBRR035	T1	NULL	10.45.186.35	NULL
LDBRR035	T0	NULL	10.45.20.35	NULL
 LDBRR228	Gi0/1/3	550	10.44.228.85	 PP04228
LDBRR037	LB	NULL	10.44.37.250	NULL
LDBRR037	Fa0/0/1   	550	10.44.37.82	PP01037
LDBRR037	Fa0/0/2	550	10.44.37.83	PP02037
LDBRR037	Fa0/0/3	550	10.44.37.90	PP11037
LDBRR037	T1	NULL	10.45.186.37	NULL
LDBRR037	T0	NULL	10.45.20.37	NULL
 LDBRR228	Gi0/1/0	550	10.44.228.86	 PP05228
LDBRR038	LB	NULL	10.44.38.250	NULL
LDBRR038	Fa0/1/1   	550	10.44.38.82	PP01038
LDBRR038	Fa0/1/2	550	10.44.38.83	PP02038
LDBRR149	LB	NULL	10.44.149.250	NULL
LDBRR149	Fa0/1/1   	550	10.44.149.82	PP01149
LDBRR149	Fa0/1/2	550	10.44.149.83	PP02149
LDBRR149	Fa0/1/3	550	10.44.149.84	PP03149
LDBRR149	Fa0/1/4	550	10.44.149.85	PP04149
LDBRR149	Fa0/1/5	550	10.44.149.86	PP05149
LDBRR149	Fa0/1/6	550	10.44.149.90	PP11149
LDBRR149	T1	NULL	10.45.186.149	NULL
LDBRR149	T0	NULL	10.45.20.149	NULL
 LDBRR228	Gi0/2/0	550	10.44.228.90	 PP11228
LDBRR150	LB	NULL	10.44.150.250	NULL
LDBRR150	Fa0/1/1   	550	10.44.150.82	PP01150
LDBRR150	Fa0/1/2	550	10.44.150.83	PP02150
LDBRR150	Fa0/1/3	550	10.44.150.84	PP03150
LDBRR150	Fa0/1/4	550	10.44.150.90	PP11150
LDBRR150	T1	NULL	10.45.186.150	NULL
LDBRR150	T0	NULL	10.45.20.150	NULL
